"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover In Rs  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"RELIANCE","EQ","29-May-2024","2,912.40","2,893.00","2,916.00","2,876.90","2,881.05","2,881.55","2,892.28","36,91,778","10,67,76,49,558.60","1,66,778","23,16,089","62.74"
"RELIANCE","EQ","30-May-2024","2,881.55","2,871.00","2,880.80","2,840.20","2,859.10","2,849.70","2,853.56","66,03,429","18,84,33,10,309.75","2,48,791","44,20,496","66.94"
"RELIANCE","EQ","31-May-2024","2,849.70","2,862.60","2,884.50","2,844.50","2,859.00","2,860.80","2,859.97","1,55,34,916","44,42,93,52,174.10","2,91,018","91,87,285","59.14"
"RELIANCE","EQ","03-Jun-2024","2,860.80","2,966.00","3,029.00","2,918.00","3,027.75","3,020.65","2,978.07","1,07,63,971","32,05,59,04,968.10","5,27,552","61,99,702","57.60"
"RELIANCE","EQ","04-Jun-2024","3,020.65","2,996.10","2,996.10","2,718.60","2,816.45","2,794.55","2,840.81","1,83,54,549","52,14,18,56,366.90","6,87,198","99,82,307","54.39"
"RELIANCE","EQ","05-Jun-2024","2,794.55","2,844.00","2,862.30","2,768.20","2,838.85","2,841.50","2,821.32","87,32,445","24,63,70,03,697.65","4,74,290","51,03,076","58.44"
"RELIANCE","EQ","06-Jun-2024","2,841.50","2,870.00","2,887.40","2,842.70","2,872.00","2,863.20","2,860.47","89,27,861","25,53,78,85,916.05","3,61,277","33,82,329","37.89"
"RELIANCE","EQ","07-Jun-2024","2,863.20","2,857.00","2,944.00","2,853.00","2,931.10","2,939.90","2,917.34","92,79,348","27,07,10,00,141.85","3,44,744","45,62,543","49.17"
"RELIANCE","EQ","10-Jun-2024","2,939.90","2,939.90","2,986.70","2,936.15","2,944.05","2,942.80","2,961.63","46,25,880","13,70,01,44,470.70","2,13,285","23,34,693","50.47"
"RELIANCE","EQ","11-Jun-2024","2,942.80","2,938.00","2,947.35","2,909.35","2,915.05","2,913.35","2,927.47","58,87,451","17,23,53,09,310.25","2,10,257","40,01,727","67.97"
"RELIANCE","EQ","12-Jun-2024","2,913.35","2,915.00","2,952.00","2,910.35","2,924.50","2,926.65","2,933.93","50,40,871","14,78,95,62,953.35","1,94,907","26,48,229","52.54"
"RELIANCE","EQ","13-Jun-2024","2,926.65","2,944.00","2,944.50","2,920.20","2,927.60","2,930.50","2,932.52","45,90,580","13,46,19,77,299.90","1,50,823","23,87,206","52.00"
"RELIANCE","EQ","14-Jun-2024","2,930.50","2,940.00","2,959.35","2,914.45","2,951.45","2,955.10","2,944.28","40,78,999","12,00,97,35,003.50","1,50,934","22,50,406","55.17"
"RELIANCE","EQ","18-Jun-2024","2,955.10","2,974.70","2,974.80","2,942.70","2,959.90","2,962.05","2,956.95","35,98,383","10,64,02,38,520.10","2,28,749","21,37,177","59.39"
"RELIANCE","EQ","19-Jun-2024","2,962.05","2,975.00","2,975.00","2,912.00","2,917.00","2,917.30","2,935.27","43,62,937","12,80,63,97,074.45","1,81,800","23,95,420","54.90"
"RELIANCE","EQ","20-Jun-2024","2,917.30","2,918.00","2,965.70","2,900.20","2,949.00","2,947.40","2,945.61","80,56,888","23,73,24,84,114.90","2,19,372","35,70,538","44.32"
"RELIANCE","EQ","21-Jun-2024","2,947.40","2,947.25","2,949.40","2,881.15","2,912.00","2,908.40","2,909.13","1,55,85,180","45,33,93,57,875.00","3,38,377","82,87,080","53.17"
"RELIANCE","EQ","24-Jun-2024","2,908.40","2,891.05","2,899.00","2,875.00","2,885.00","2,882.95","2,885.46","44,39,193","12,80,91,05,423.85","2,04,050","28,55,921","64.33"
